"Che Adams","sctSCO","FW,MF","Torino","itSerie A","29-140","1996","5.4","126","119","5","1","0","5","5","0","0","0","0","0","92","2","6",
"Tyler Adams","usUSA","MF","Bournemouth","engPremier League","26-289","1999","12.2","631","611","20","18","1","2","0","2","0","0","0","0","549","0","10",
"Junior Adamu","atAUT","FW","Freiburg","deBundesliga","24-177","2001","4.8","82","78","3","0","0","0","2","0","0","0","0","0","47","1","6",
"Tosin Adarabioyo","engENG","DF","Chelsea","engPremier League","28-067","1997","5.2","474","451","20","8","2","1","0","2","0","0","0","0","427","3","2",
"Jayden Addai","nlNED","FW","Como","itSerie A","20-096","2005","5.7","137","134","3","1","1","2","9","1","1","0","1","0","94","0","8",
"Karim Adeyemi","deGER","MF,FW","Dortmund","deBundesliga","23-316","2002","6.6","171","163","8","0","1","1","4","7","0","0","0","0","119","0","12",
"Simon Adingra","ciCIV","FW,MF","Sunderland","engPremier League","23-333","2002","3.3","83","82","1","0","1","0","16","1","0","0","0","0","57","0","10",
"Nathaniel Adjei","ghGHA","DF","Lorient","frLigue 1","23-101","2002","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Amine Adli","maMAR","FW,MF","Bournemouth","engPremier League","25-204","2000","3.5","137","129","8","0","1","1","8","5","2","2","0","0","102","0","6",
"Vasilije Adžić","meMNE","MF","Juventus","itSerie A","19-202","2006","1.4","70","63","5","2","0","1","2","2","1","0","1","0","54","2","5",
"Michel Aebischer","chSUI","MF","Pisa","itSerie A","28-328","1997","9.9","473","431","40","25","0","5","4","2","4","1","2","0","404","2","7",
"David Affengruber","atAUT","DF","Elche","esLa Liga","24-256","2001","12.4","764","728","35","26","0","7","2","2","0","0","0","0","672","1","1",
"Oladapo Afolayan","engENG","MF,FW","St. Pauli","deBundesliga","27-291","1998","1.7","75","74","0","0","1","0","10","0","0","0","0","0","50","1","6",
"Emmanuel Agbadou","ciCIV","DF","Wolves","engPremier League","28-166","1997","7.2","442","414","26","15","1","4","11","10","0","0","0","0","348","2","5",
"Julen Agirrezabala","esESP","GK","Valencia","esLa Liga","24-339","2000","13.0","421","308","113","37","0","0","0","0","0","0","0","0","306","0","0",
"Lucien Agoume","frFRA","MF","Sevilla","esLa Liga","23-294","2002","8.6","399","380","13","10","2","5","5","2","1","0","0","0","314","6","9",
"Felix Agu","ngNGA","DF","Werder Bremen","deBundesliga","26-064","1999","5.4","248","194","54","5","0","3","7","49","0","0","0","0","198","0","8",
"Marc Aguado","esESP","MF","Elche","esLa Liga","25-281","2000","9.2","490","480","9","7","0","1","1","2","0","0","0","0","446","1","5",
"Pablo Agudín","esESP","MF,FW","Oviedo","esLa Liga","18-022","2007","0.6","10","10","0","0","0","0","0","0","0","0","0","0","4","0","0",
"Nayef Aguerd","maMAR","DF","West Ham","engPremier League","29-245","1996","2.0","119","113","6","2","0","3","2","2","0","0","0","0","106","0","1",
"Nayef Aguerd","maMAR","DF","Marseille","frLigue 1","29-245","1996","8.7","835","807","27","14","0","4","0","1","0","0","0","0","793","1","1",
"Ruben Aguilar","frFRA","DF","Lens","frLigue 1","32-218","1993","11.0","592","502","86","2","0","0","55","84","0","0","0","0","469","4","12",
"Honest Ahanor","itITA","DF","Atalanta","itSerie A","17-280","2008","5.7","289","283","6","5","0","1","1","0","0","0","0","0","261","0","2",
"Lucas Ahijado","esESP","DF","Oviedo","esLa Liga","30-304","1995","4.1","193","149","43","0","2","2","4","43","0","0","0","0","146","1","5",
"Joseph Aidoo","ghGHA","DF","Celta Vigo","esLa Liga","30-062","1995","1.2","41","39","2","1","0","0","0","0","0","0","0","0","37","0","1",
"Ola Aina","ngNGA","DF","Nott'ham Forest","engPremier League","29-053","1996","3.0","157","131","26","5","0","1","13","20","1","0","0","0","125","0","5",
"Abdelhamid Ait Boudlal","maMAR","DF","Rennes","frLigue 1","19-228","2006","5.2","236","222","14","13","0","5","2","1","0","0","0","0","202","0","2",
"Rayan Aït-Nouri","dzALG","DF","Manchester City","engPremier League","24-177","2001","2.3","125","104","21","2","0","0","2","19","0","0","0","0","109","0","6",
"Tosin Aiyegun","bjBEN","MF,FW","Lorient","frLigue 1","27-157","1998","7.9","134","127","6","0","1","0","4","4","0","0","0","0","100","1","6",
"Junior Ajayi","ciCIV","FW","Hellas Verona","itSerie A","21-050","2004","0.0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0",
"Kristoffer Ajer","noNOR","DF","Brentford","engPremier League","27-227","1998","5.2","171","152","18","0","0","1","2","18","0","0","0","0","121","1","3",
"Ludovic Ajorque","frFRA","FW","Brest","frLigue 1","31-278","1994","12.9","327","321","6","1","1","5","4","0","0","0","0","0","225","0","3",
"Manuel Akanji","chSUI","DF","Inter","itSerie A","30-134","1995","10.0","771","723","46","21","0","10","3","25","0","0","0","0","700","2","6",
"Nathan Aké","nlNED","DF","Manchester City","engPremier League","30-285","1995","2.3","171","157","14","6","0","2","2","5","0","0","0","0","155","0","0",
"Ilias Akhomach","maMAR","MF,FW","Villarreal","esLa Liga","21-228","2004","1.8","60","53","5","2","1","0","7","0","3","2","0","0","45","2","1",
"Ebenezer Akinsanmiro","ngNGA","MF","Pisa","itSerie A","21-005","2004","8.3","239","226","9","3","2","2","7","1","0","0","0","0","200","4","1",
"Maghnes Akliouche","frFRA","MF,FW","Monaco","frLigue 1","23-278","2002","11.4","509","486","21","4","7","4","21","9","6","1","4","0","415","2","10",
"Clément Akpa","ciCIV","DF","Auxerre","frLigue 1","24-006","2001","12.0","660","596","62","38","0","8","23","3","11","1","9","0","532","2","7",
"Jean-Daniel Akpa-Akpro","ciCIV","MF","Hellas Verona","itSerie A","33-050","1992","5.5","121","116","4","2","0","0","3","2","0","0","0","0","84","1","6",
"Kevin Akpoguma","ngNGA","DF","Hoffenheim","deBundesliga","30-225","1995","0.3","9","8","1","0","0","0","0","0","0","0","0","0","5","0","0",
"David Alaba","atAUT","DF","Real Madrid","esLa Liga","33-159","1992","0.6","50","45","5","4","1","0","0","1","0","0","0","0","48","0","0",
"Raúl Albiol","esESP","DF","Pisa","itSerie A","40-087","1985","2.0","126","124","2","2","0","0","0","0","0","0","0","0","116","0","1",
"Carlos Alcaraz","arARG","MF,FW","Everton","engPremier League","23-000","2002","3.3","127","119","7","3","1","1","2","0","1","0","0","0","104","1","1",
"Omar Alderete","pyPAR","DF","Sunderland","engPremier League","28-339","1996","8.4","391","384","7","6","1","4","4","1","0","0","0","0","327","0","3",
"Alexandre Alemão","brBRA","FW","Rayo Vallecano","esLa Liga","27-243","1998","5.9","92","81","9","0","1","0","2","0","0","0","0","0","57","2","4",
"Carles Aleñá","esESP","MF,FW","Alavés","esLa Liga","27-329","1998","9.2","428","379","46","17","1","2","41","3","26","8","7","0","339","3","7",
"Trent Alexander-Arnold","engENG","DF","Real Madrid","esLa Liga","27-054","1998","2.8","226","186","37","4","1","2","30","24","9","2","7","0","172","3","3",
"Alfon","esESP","FW,DF","Sevilla","esLa Liga","26-210","1999","2.7","63","58","5","0","0","1","4","5","0","0","0","0","48","0","1",
"Mohamed Ali Cho","frFRA","FW","Nice","frLigue 1","21-315","2004","4.2","114","109","4","0","2","0","12","1","0","0","0","0","90","1","5",
"Alisson","brBRA","GK","Liverpool","engPremier League","33-059","1992","7.0","282","250","32","15","0","1","0","0","0","0","0","0","237","0","0",
"Jim Allevinah","gaGAB","FW,DF","Angers","frLigue 1","30-276","1995","0.9","13","12","0","0","0","0","1","0","0","0","0","0","10","1","0",
"Thiago Almada","arARG","MF,FW","Atlético Madrid","esLa Liga","24-218","2001","3.3","193","182","11","3","3","1","9","3","5","1","3","0","162","0","4",
"Domingos André Ribeiro Almeida","ptPOR","MF,FW","Valencia","esLa Liga","25-184","2000","3.6","196","173","23","6","1","2","21","1","14","4","8","0","160","0","3",
"Pontus Almqvist","seSWE","DF,MF","Parma","itSerie A","26-143","1999","3.9","80","79","1","1","0","0","4","0","0","0","0","0","60","0","1",
"Marcos Alonso","esESP","DF","Celta Vigo","esLa Liga","34-337","1990","8.9","716","663","50","32","4","9","7","13","0","0","0","0","642","3","6",
"Adrià Altimira","esESP","DF","Villarreal","esLa Liga","24-247","2001","0.1","8","7","1","1","0","0","0","0","0","0","0","0","8","0","0",
"Sergi Altimira","esESP","MF","Betis","esLa Liga","24-097","2001","5.0","283","272","11","10","1","0","1","1","0","0","0","0","261","0","1",
"Carlos Álvarez","esESP","MF,FW","Levante","esLa Liga","22-116","2003","10.4","363","320","38","17","11","1","24","1","18","9","5","0","274","5","5",
"Hugo Álvarez","esESP","FW,MF","Celta Vigo","esLa Liga","22-151","2003","3.8","160","153","6","0","0","0","4","6","0","0","0","0","130","1","7",
"Julián Álvarez","arARG","FW","Atlético Madrid","esLa Liga","25-303","2000","11.4","414","346","66","8","7","3","47","2","42","11","22","0","328","2","9",
"Skelly Alvero","frFRA","DF","Werder Bremen","deBundesliga","23-210","2002","0.4","24","24","0","0","0","0","0","0","0","0","0","0","23","0","0",
"Giuseppe Ambrosino","itITA","FW","Napoli","itSerie A","22-081","2003","0.4","4","4","0","0","0","0","0","0","0","0","0","0","1","0","0",
"Aurele Amenda","chSUI","DF","Eint Frankfurt","deBundesliga","22-122","2003","1.2","89","77","12","7","0","3","0","4","0","0","0","0","74","0","1",
"Kelvin Amian","frFRA","DF","Nantes","frLigue 1","27-295","1998","13.0","614","493","119","20","0","2","15","98","0","0","0","0","484","2","9",
"Mohamed Amine Sbai","frFRA","FW","Angers","frLigue 1","25-025","2000","4.4","157","142","12","1","1","1","18","0","11","6","2","0","101","3","4",
"Michael Amir Murillo","paPAN","DF","Marseille","frLigue 1","29-292","1996","8.7","459","395","64","5","3","1","22","59","0","0","0","0","381","0","8",
"Nadiem Amiri","deGER","MF","Mainz 05","deBundesliga","29-034","1996","10.5","636","536","94","48","3","6","48","5","32","14","10","0","494","6","12",
"Samuel Amo-Ameyaw","engENG","DF,MF","Strasbourg","frLigue 1","19-135","2006","3.4","134","124","10","2","2","0","15","5","3","2","0","0","112","0","1",
"Mathis Amougou","frFRA","MF","Strasbourg","frLigue 1","19-316","2006","2.6","120","118","2","2","1","0","0","0","0","0","0","0","110","0","1",
"Mohamed Amoura","dzALG","FW","Wolfsburg","deBundesliga","25-205","2000","7.9","185","169","16","0","3","0","12","3","0","0","0","0","128","0","13",
"Ethan Ampadu","wlsWAL","MF","Leeds United","engPremier League","25-077","2000","10.7","650","587","62","31","2","1","7","31","0","0","0","0","539","1","4",
"Sofyan Amrabat","maMAR","MF","Betis","esLa Liga","29-101","1996","6.7","439","424","15","13","0","7","4","1","1","0","0","0","394","0","6",
"Joachim Andersen","dkDEN","DF","Fulham","engPremier League","29-183","1996","11.5","751","689","60","43","0","16","3","8","0","0","0","0","633","2","4",
"Elliot Anderson","engENG","MF","Nott'ham Forest","engPremier League","23-024","2002","12.0","882","810","71","21","3","7","55","4","36","18","16","0","734","1","10",
"André","brBRA","MF","Wolves","engPremier League","24-137","2001","8.8","398","389","7","5","0","2","4","1","1","1","0","0","361","2","4",
"Benjamin André","frFRA","MF","Lille","frLigue 1","35-119","1990","9.9","526","503","22","22","4","6","6","0","0","0","0","0","437","1","14",
"Robert Andrich","deGER","MF,DF","Leverkusen","deBundesliga","31-069","1994","8.6","508","490","18","9","0","5","4","9","0","0","0","0","445","0","3",
"Miguel Ángel Rubio","esESP","DF","Espanyol","esLa Liga","27-264","1998","1.5","51","47","4","1","0","0","0","0","0","0","0","0","41","0","0",
"Angeliño","esESP","DF,MF","Roma","itSerie A","28-330","1997","4.3","244","200","43","5","0","2","14","38","0","0","0","0","183","1","6",
"Samuele Angori","itITA","DF","Pisa","itSerie A","22-054","2003","5.9","182","130","51","17","0","1","30","25","9","3","5","0","111","1","9",
"Faustino Anjorin","engENG","MF,FW","Torino","itSerie A","24-007","2001","0.7","26","25","0","0","1","0","0","0","0","0","0","0","15","1","0",
"Ilyas Ansah","deGER","MF,FW","Union Berlin","deBundesliga","21-022","2004","9.4","148","145","3","0","2","1","8","2","0","0","0","0","112","0","8",
"Aaron Anselmino","arARG","DF","Dortmund","deBundesliga","20-215","2005","2.8","173","168","4","4","0","0","0","0","0","0","0","0","153","1","2",
"Jaidon Anthony","engENG","FW,MF","Burnley","engPremier League","25-364","1999","10.8","310","269","40","1","3","0","23","8","11","8","1","1","219","1","10",
"Waldemar Anton","deGER","DF","Dortmund","deBundesliga","29-133","1996","12.0","936","906","28","15","0","3","7","13","0","0","0","0","843","2","6",
"Antoniu","esESP","FW,MF","Espanyol","esLa Liga","23-086","2002","1.0","30","29","1","0","0","0","2","1","0","0","0","0","23","0","3",
"Antony","brBRA","FW","Betis","esLa Liga","25-279","2000","8.5","452","420","31","12","0","4","33","10","9","6","2","0","354","1","13",
"Youssef El-Arabi","maMAR","FW","Nantes","frLigue 1","38-300","1987","4.5","103","91","12","1","1","1","0","0","0","0","0","0","63","0","1",
"Mauro Arambarri","uyURU","MF","Getafe","esLa Liga","30-061","1995","13.8","327","319","7","6","0","1","4","0","1","1","0","0","246","1","11",
"Jon Aramburu","veVEN","DF","Real Sociedad","esLa Liga","23-130","2002","11.0","604","486","114","13","0","1","20","101","0","0","0","0","453","4","17",
"Ronald Araújo","uyURU","DF","Barcelona","esLa Liga","26-268","1999","7.2","480","455","24","17","1","0","2","5","0","0","0","0","444","1","2",
"Carlens Arcus","htHAI","DF","Angers","frLigue 1","29-155","1996","11.7","615","511","100","21","0","2","6","79","0","0","0","0","540","4","5",
"Alphonse Areola","frFRA","GK","West Ham","engPremier League","32-276","1993","8.0","275","173","101","25","0","0","0","0","0","0","0","0","152","1","0",
"Jesús Areso","esESP","DF","Athletic Club","esLa Liga","26-151","1999","8.2","403","310","92","8","0","3","41","84","0","0","0","0","294","1","9",
"Iñigo Arguibide","esESP","DF","Osasuna","esLa Liga","20-225","2005","0.2","6","5","1","0","0","0","1","1","0","0","0","0","5","0","0",
"Jhon Arias","coCOL","FW","Wolves","engPremier League","28-070","1997","6.3","228","197","31","4","0","2","26","2","16","12","2","0","191","0","5",
"Harrison Armstrong","engENG","FW","Everton","engPremier League","18-315","2007","0.0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"Hákon Arnar Haraldsson","isISL","MF,FW","Lille","frLigue 1","22-234","2003","10.4","494","439","54","8","4","3","44","2","29","15","12","0","397","1","10",
"Maximilian Arnold","deGER","MF","Wolfsburg","deBundesliga","31-187","1994","10.0","527","462","65","36","0","7","47","0","27","18","7","0","428","0","2",
"Tolu Arokodare","ngNGA","FW","Wolves","engPremier League","25-007","2000","3.1","47","47","0","0","0","0","0","0","0","0","0","0","22","0","2",
"Kervin Arriaga","hnHON","MF","Levante","esLa Liga","27-329","1998","7.0","305","293","11","11","1","2","3","0","0","0","0","0","253","1","7",
"Arthur","brBRA","DF","Leverkusen","deBundesliga","22-258","2003","4.5","186","161","25","0","0","1","11","25","0","0","0","0","147","0","4",
"Takuma Asano","jpJPN","FW","Mallorca","esLa Liga","31-020","1994","3.4","60","60","0","0","0","0","5","0","0","0","0","0","40","0","4",
"Raúl Asencio","esESP","DF","Real Madrid","esLa Liga","22-290","2003","5.5","316","292","24","10","0","2","1","5","0","0","0","0","301","0","3",
"Fisnik Asllani","xkKVX","FW,MF","Hoffenheim","deBundesliga","23-114","2002","9.1","225","217","8","0","4","0","1","2","0","0","0","0","151","0","5",
"Kristjan Asllani","alALB","MF","Torino","itSerie A","23-266","2002","7.8","407","347","58","26","3","2","31","3","19","9","10","0","332","2","3",
"Joel Asoro","seSWE","FW","Metz","frLigue 1","26-217","1999","1.8","30","28","2","0","0","0","1","1","0","0","0","0","19","0","3",
"Iago Aspas","esESP","FW,MF","Celta Vigo","esLa Liga","38-121","1987","5.3","317","297","17","8","7","7","13","1","7","4","0","0","244","3","11",
"Yaser Asprilla","coCOL","FW,MF","Girona","esLa Liga","22-011","2003","5.0","136","117","18","5","0","2","31","1","11","3","6","0","95","1","5",
"Lorenz Assignon","tgTOG","DF","Stuttgart","deBundesliga","25-161","2000","5.5","285","227","57","4","0","0","17","53","0","0","0","0","225","1","9",
"Dehmaine Assoumani","frFRA","MF","Nantes","frLigue 1","20-227","2005","6.8","241","205","34","12","0","6","36","1","21","9","11","0","157","2","3",
"Otavio Ataide","brBRA","DF","Paris FC","frLigue 1","23-223","2002","10.4","721","697","22","15","0","8","1","1","0","0","0","0","633","2","3",
"Zachary Athekame","chSUI","DF,FW","Milan","itSerie A","20-352","2004","1.2","61","56","5","0","0","1","5","5","0","0","0","0","48","0","2",
"Arthur Atta","frFRA","MF","Udinese","itSerie A","22-320","2003","12.3","456","413","43","14","0","3","34","9","20","14","2","0","354","0","16",
"Noah Atubolu","deGER","GK","Freiburg","deBundesliga","23-189","2002","11.0","485","388","95","37","0","2","0","0","0","0","0","0","330","2","0",
"Pierre-Emerick Aubameyang","gaGAB","FW","Marseille","frLigue 1","36-165","1989","8.8","203","191","12","0","2","0","14","1","0","0","0","0","158","0","7",
"Emil Audero","idIDN","GK","Cremonese","itSerie A","28-316","1997","8.0","375","303","70","25","0","0","0","0","0","0","0","0","241","2","0",
"Carlos Augusto","brBRA","DF","Inter","itSerie A","26-327","1999","5.3","277","246","31","6","1","1","12","25","0","0","0","0","233","0","6",
"Yann Aurel Bisseck","deGER","DF","Inter","itSerie A","25-001","2000","3.0","209","203","6","4","0","1","2","2","0","0","0","0","196","0","0",
"Leon Avdullahu","xkKVX","MF","Hoffenheim","deBundesliga","21-280","2004","11.4","663","635","28","21","0","6","9","5","2","1","0","0","580","0","8",
"Ezequiel Ávila","arARG","FW,MF","Betis","esLa Liga","31-297","1994","0.5","13","11","2","1","0","0","1","0","1","0","1","0","10","0","0",
"Arthur Avom","cmCMR","MF","Lorient","frLigue 1","20-350","2004","11.1","585","536","45","27","5","2","26","3","7","4","1","0","475","4","15",
"Chidozie Awaziem","ngNGA","DF","Nantes","frLigue 1","28-333","1997","12.8","825","717","107","43","2","11","0","4","0","0","0","0","725","1","6",
"Taiwo Awoniyi","ngNGA","FW","Nott'ham Forest","engPremier League","28-110","1997","1.5","25","25","0","0","0","0","0","0","0","0","0","0","20","0","1",
"Yasin Ayari","seSWE","MF","Brighton","engPremier League","22-055","2003","10.7","542","508","30","11","0","2","20","1","16","9","1","0","456","4","6",
"Neil El Aynaoui","maMAR","MF","Roma","itSerie A","24-151","2001","3.8","163","158","5","2","1","0","4","0","3","2","1","0","142","0","1",
"César Azpilicueta","esESP","DF","Sevilla","esLa Liga","36-094","1989","5.5","344","290","54","15","0","1","7","39","0","0","0","0","291","0","2",
"Oussama El Azzouzi","maMAR","MF","Auxerre","frLigue 1","24-185","2001","4.1","178","172","5","4","0","2","0","0","1","0","0","0","159","1","1",
"Mio Backhaus","deGER","GK","Werder Bremen","deBundesliga","21-228","2004","10.0","364","313","50","13","0","0","0","0","0","0","0","0","312","1","0",
"Loïc Bade","frFRA","DF","Leverkusen","deBundesliga","25-233","2000","9.9","807","794","13","12","1","2","0","1","0","0","0","0","744","0","1",
"Benoît Badiashile","frFRA","DF","Chelsea","engPremier League","24-249","2001","1.2","96","89","7","4","0","0","0","0","0","0","0","0","89","0","0",
"Alex Baena","esESP","MF","Atlético Madrid","esLa Liga","24-133","2001","5.4","277","236","38","5","2","0","48","1","30","14","10","0","201","3","15",
"Samson Baidoo","atAUT","DF","Lens","frLigue 1","21-244","2004","11.5","549","521","26","15","0","2","0","1","0","0","0","0","515","2","0",
"Leon Bailey","jmJAM","FW,MF","Roma","itSerie A","28-113","1997","1.6","55","51","4","3","0","0","11","0","1","1","0","0","39","0","2",
"Eric Bailly","ciCIV","DF","Oviedo","esLa Liga","31-232","1994","3.0","139","131","8","6","0","1","0","1","0","0","0","0","124","0","0",
"Theo Bair","caCAN","MF,FW","Auxerre","frLigue 1","26-095","1999","0.1","4","4","0","0","0","0","0","0","0","0","0","0","3","0","0",
"Cédric Bakambu","cdCOD","FW","Betis","esLa Liga","34-233","1991","0.8","17","16","1","0","0","0","1","0","0","0","0","0","11","0","0",
"Johan Bakayoko","beBEL","FW","RB Leipzig","deBundesliga","22-224","2003","6.7","224","220","4","0","2","1","12","4","0","0","0","0","181","0","4",
"Darryl Bakola","frFRA","MF","Marseille","frLigue 1","18-000","2007","0.3","27","27","0","0","0","0","1","0","0","0","0","0","25","0","0",
"Ridle Baku","deGER","DF","RB Leipzig","deBundesliga","27-236","1998","11.8","824","720","103","16","1","4","20","84","3","0","0","0","700","1","20",
"Dilane Bakwa","frFRA","FW,MF","Nott'ham Forest","engPremier League","23-096","2002","1.9","96","89","7","2","0","1","13","2","3","3","0","0","72","0","2",
"Dilane Bakwa","frFRA","DF,MF","Strasbourg","frLigue 1","23-096","2002","1.2","50","45","5","0","2","2","7","1","4","2","2","0","40","0","1",
"Tommaso Baldanzi","itITA","FW,MF","Roma","itSerie A","22-252","2003","2.8","106","98","7","1","2","0","6","0","2","1","1","0","89","1","3",
"Alejandro Balde","esESP","DF","Barcelona","esLa Liga","22-043","2003","8.0","491","426","64","7","1","0","12","57","0","0","0","0","442","1","9",
"Fabio Baldé","ptPOR","FW,MF","Hamburger SV","deBundesliga","20-133","2005","0.9","28","26","2","0","0","0","4","2","0","0","0","0","18","0","1",
"Carlos Baleba","cmCMR","MF","Brighton","engPremier League","21-331","2004","7.7","291","287","4","3","2","2","0","1","0","0","0","0","246","0","3",
"Leonardo Balerdi","arARG","DF","Marseille","frLigue 1","26-308","1999","7.7","589","553","36","21","1","1","1","1","0","0","0","0","555","0","2",
"Daniel Ballard","nirNIR","DF","Sunderland","engPremier League","26-069","1999","8.5","363","336","23","5","0","1","1","0","0","0","0","0","293","4","2",
"Iván Balliu","alALB","DF","Rayo Vallecano","esLa Liga","33-333","1992","1.5","102","87","15","0","0","0","5","15","0","0","0","0","85","0","1",
"Fodé Ballo-Touré","snSEN","DF","Metz","frLigue 1","28-331","1997","3.6","205","173","31","4","0","1","7","27","0","0","0","0","178","1","5",
"Folarin Balogun","usUSA","FW","Monaco","frLigue 1","24-150","2001","7.4","147","138","9","0","1","0","2","0","0","0","0","0","104","0","6",
"Abdoulaye Bamba","ciCIV","DF","Angers","frLigue 1","35-219","1990","0.1","8","6","2","0","0","0","1","2","0","0","0","0","5","0","0",
"Aladji Bamba","frFRA","MF","Monaco","frLigue 1","19-139","2006","1.5","124","122","2","1","0","0","0","1","0","0","0","0","114","0","1",
"Mohamed Bamba","ciCIV","FW","Lorient","frLigue 1","23-355","2001","6.6","113","97","15","0","3","0","3","0","0","0","0","0","80","1","6",
"Lameck Banda","zmZAM","FW","Lecce","itSerie A","24-305","2001","4.6","109","103","6","1","1","0","16","4","1","1","0","0","82","0","7",
"Noahkai Banks","usUSA","DF","Augsburg","deBundesliga","18-364","2006","6.9","312","294","17","14","1","1","1","1","0","0","0","0","279","1","2",
"Ezechiel Banzuzi","nlNED","MF","RB Leipzig","deBundesliga","20-287","2005","3.5","144","139","3","3","0","0","2","0","0","0","0","0","115","2","0",
"Tommaso Barbieri","itITA","FW,DF","Cremonese","itSerie A","23-096","2002","5.5","176","154","22","3","0","3","18","19","0","0","0","0","118","0","6",
"Valentín Barco","arARG","MF,DF","Strasbourg","frLigue 1","21-130","2004","11.8","717","634","79","51","20","1","37","14","14","3","8","0","583","4","9",
"Bradley Barcola","frFRA","FW","Paris S-G","frLigue 1","23-089","2002","7.4","304","301","2","1","3","1","7","1","0","0","0","0","253","1","6",
"Melvin Bard","frFRA","DF,MF","Nice","frLigue 1","25-024","2000","12.0","558","469","87","11","2","2","41","75","0","0","0","0","418","2","17",
"Roony Bardghji","seSWE","FW","Barcelona","esLa Liga","20-015","2005","2.0","99","92","6","0","0","0","14","0","6","3","0","0","80","1","4",
"Nicolò Barella","itITA","MF","Inter","itSerie A","28-296","1997","10.3","724","693","28","8","4","9","45","3","15","6","8","0","593","3","14",
"Kike Barja","esESP","FW,MF","Osasuna","esLa Liga","28-243","1997","1.6","60","54","6","0","0","1","20","3","3","3","0","0","33","0","5",
"Ross Barkley","engENG","MF","Aston Villa","engPremier League","31-360","1993","1.2","47","46","1","1","2","1","0","0","0","0","0","0","40","0","0",
"Ashley Barnes","engENG","FW","Burnley","engPremier League","36-031","1989","0.1","5","5","0","0","0","0","0","0","0","0","0","0","1","0","0",
"Harvey Barnes","engENG","FW","Newcastle Utd","engPremier League","27-356","1997","6.9","185","183","2","1","1","0","23","1","0","0","0","0","138","0","11",
"Ander Barrenetxea","esESP","MF,FW","Real Sociedad","esLa Liga","23-338","2001","9.6","385","351","30","1","3","5","43","7","22","11","0","0","284","4","14",
"Pablo Barrios","esESP","MF","Atlético Madrid","esLa Liga","22-168","2003","10.8","662","646","13","10","5","5","17","2","0","0","0","0","565","3","10",
"Thierno Barry","frFRA","FW","Everton","engPremier League","23-040","2002","6.1","118","115","3","0","1","0","0","0","0","0","0","0","73","0","2",
"Davide Bartesaghi","itITA","DF,FW","Milan","itSerie A","19-336","2005","7.4","332","270","60","9","1","1","35","43","8","7","0","0","265","2","3",
"Marc Bartra","esESP","DF","Betis","esLa Liga","34-319","1991","8.5","474","446","28","22","0","7","1","0","0","0","0","0","417","0","5",
"Federico Baschirotto","itITA","DF","Cremonese","itSerie A","29-071","1996","12.0","546","492","52","30","0","2","2","1","0","0","0","0","475","2","1",
